Time,Temperature
1126,-2.9816408
1127,-2.7429616
1128,-2.0373414
1129,-2.0703945
1130,-2.392085
1131,-3.181493
1132,-3.2503953
1133,-3.849947
1134,-3.2352343
1135,-2.5974987
1136,-2.0746844
1137,-2.1217446
1138,-1.8747587
1139,-1.2261091
1140,-1.4909055
1141,-1.9634221
1142,-2.0971582
1143,-2.3321972
1144,-3.1196127
1145,-3.9311807
1146,-4.1593137
1147,-3.2178822
1148,-3.3904243
1149,-2.7423646
1150,-2.9361565
1151,-3.4685156
1152,-3.2594907
1153,-3.406369
1154,-3.0375552
1155,-2.3545065
1156,-1.6940235
1157,-1.5797827
1158,-1.1569847
1159,-1.0560532
1160,-0.92248005
1161,-1.3309528
1162,-1.056355
1163,-2.0979555
1164,-1.8752276
1165,-1.5927505
1166,-2.216473
1167,-1.7661997
1168,-2.7510998
1169,-2.3445282
1170,-1.6099517
1171,-2.0559676
1172,-2.370702
1173,-2.6118772
1174,-3.0786345
1175,-2.8484035
1176,-3.1063583
1177,-2.7681422
1178,-1.6421963
1179,-2.0975246
1180,-2.7495787
1181,-2.508457
1182,-2.5237908
1183,-2.2515898
1184,-2.1347957
1185,-2.3003745
1186,-1.346758
1187,-0.57846576
1188,0.596624
1189,0.8372939
1190,1.2342384
1191,0.97152877
1192,0.48024395
1193,0.4981827
1194,1.0485258
1195,2.1882915
1196,2.1657064
1197,1.7169839
1198,0.91607434
1199,-0.25384113
1200,-0.4523812
1201,-0.04256562
1202,-0.10407387
1203,0.30683917
1204,0.8934988
1205,1.0165637
1206,0.6314331
1207,1.2366545
1208,0.1387813
1209,0.18230881
1210,-0.011413668
1211,0.33417258
1212,0.26044533
1213,0.89099234
1214,1.0119721
1215,-0.38615867
1216,-0.013876515
1217,0.38974157
1218,0.09260048
1219,1.2922493
1220,0.43484268
1221,0.88367647
1222,0.034441132
1223,0.07476824
1224,-0.40141833
1225,0.06717634
1226,1.238362
1227,0.9846209
1228,1.3429717
1229,0.6914323
1230,0.5717437
1231,1.1721475
1232,0.09950969
1233,0.23452409
1234,0.22197099
1235,-1.0974116
1236,-1.1967599
1237,-0.00065686693
1238,0.26070353
1239,0.21368027
1240,0.33119488
1241,0.7111432
1242,1.1917616
1243,0.5126677
1244,0.9046575
1245,0.6156134
1246,0.18992814
1247,0.5079873
1248,0.8644207
1249,0.82905483
1250,0.61389136
1251,0.52455425
1252,-0.32479405
1253,0.0025919613
1254,1.0493006
1255,0.6413684
1256,1.2390301
1257,1.2967167
1258,1.299599
1259,1.1077762
1260,1.9292488
1261,1.9421263
1262,2.0493877
1263,1.5350028
1264,2.3463562
1265,1.8596903
1266,0.49567145
1267,1.0512372
1268,0.39755782
1269,1.6764487
1270,1.2818346
1271,1.2608278
1272,1.8244971
1273,1.3428619
1274,0.23918994
1275,0.18138404
1276,1.5683932
1277,1.3019893
1278,1.6057491
1279,0.30396637
1280,0.37537766
1281,0.86094755
1282,0.8106157
1283,1.105173
1284,1.148176
1285,1.535148
1286,1.6894827
1287,0.22820234
1288,0.24395585
1289,0.68066746
1290,0.87180763
1291,0.92322403
1292,0.4303834
1293,1.0104244
1294,2.097079
1295,0.87535185
1296,0.2682228
1297,0.63679135
1298,1.3667722
1299,1.5435339
1300,0.4243215
1301,0.9997563
1302,1.0327256
1303,1.6944407
1304,1.4157661
1305,-0.010605092
1306,0.7421402
1307,0.09248428
1308,1.2047682
1309,1.4835315
1310,0.89891833
1311,0.7106445
1312,0.29542226
1313,0.7181347
1314,1.4045057
1315,1.9542485
1316,1.7393061
1317,0.37114918
1318,-0.2992747
1319,0.6049583
1320,0.25709158
1321,-0.06684872
1322,-0.68996525
1323,-1.1050131
1324,-1.6301388
1325,-1.7360759
1326,-1.5948002
1327,-1.8937901
1328,-1.4877794
1329,-2.4092379
1330,-2.6686406
1331,-2.5239265
1332,-2.3072329
1333,-2.4567783
1334,-1.8247731
1335,-1.9022769
1336,-2.1088688
1337,-1.5347672
1338,-1.3154268
1339,-2.2720656
1340,-2.722184
1341,-2.9812865
1342,-2.5554721
1343,-2.5893493
1344,-2.8174314
1345,-3.2902915
1346,-3.2934573
1347,-3.268904
1348,-2.4131765
1349,-2.9070735
1350,-2.9995482
1351,-3.3799531
1352,-2.3355808
1353,-2.6906004
1354,-2.8545742
1355,-2.96435
1356,-2.599198
1357,-3.2806776
1358,-3.326759
1359,-3.74133
1360,-3.2148988
1361,-2.694156
1362,-3.4166722
1363,-2.8919833
1364,-2.7910113
1365,-2.9124835
1366,-3.1757386
1367,-3.5285964
1368,-3.8136337
1369,-3.5272543
1370,-3.6502345
1371,-4.0969234
1372,-3.7909927
1373,-2.2867942
1374,-2.1352444
1375,-1.8783634
1376,-1.8273175
1377,-3.0958831
1378,-2.3071184
1379,-2.6058702
1380,-3.380062
1381,-3.0409162
1382,-3.1119483
1383,-2.8071587
1384,-3.380417
1385,-2.9839036
1386,-3.0952601
1387,-3.0361342
1388,-2.4620357
1389,-2.072161
1390,-2.2628558
1391,-2.4924605
1392,-1.555398
